experiment	exp_line	passage	genomic_position	shannon_entropy
EXPIV	19	10	462	0.0205662983537923
EXPIV	19	10	463	0.0202230548441434
EXPIV	19	10	465	0.0328839151971113
EXPIV	19	10	466	0.0366210822814993
EXPIV	19	10	467	0.0367855088998168
EXPIV	19	10	470	0.116884999119521
EXPIV	19	10	472	0.0217012049788481
EXPIV	19	10	473	0.0153897305557895
EXPIV	19	10	474	0.0488311290772621
EXPIV	19	10	476	0.0132262312970248
EXPIV	19	10	479	0.021310395251784
EXPIV	19	10	491	0.0189199931238262
EXPIV	19	10	497	0.0125346385170869
EXPIV	19	10	503	0.064903834559445
EXPIV	19	10	507	0.0122650383621651
EXPIV	19	10	521	0.0124042305506539
EXPIV	19	10	532	0.0143674610347765
EXPIV	19	10	533	0.0143674610347765
EXPIV	19	10	535	0.0138842362993141
EXPIV	19	10	540	0.0134540996989628
EXPIV	19	10	549	0.0145862687881861
EXPIV	19	10	559	0.0191154803820841
EXPIV	19	10	563	0.0168951287937391
EXPIV	19	10	565	0.0164295733261586
EXPIV	19	10	570	0.0651890745877182
EXPIV	19	10	575	0.0119889831123258
EXPIV	19	10	592	0.0160804585220018
EXPIV	19	10	603	0.0196496518481556
EXPIV	19	10	605	0.0173548167956014
EXPIV	19	10	607	0.0369329704824769
EXPIV	19	10	609	0.0348722659244637
EXPIV	19	10	611	0.0114767022883289
EXPIV	19	10	612	0.0198983227192025
EXPIV	19	10	613	0.0128470072629002
EXPIV	19	10	615	0.0127550791910377
EXPIV	19	10	616	0.147507065064967
EXPIV	19	10	618	0.133065671491498
EXPIV	19	10	625	0.179520349424089
EXPIV	19	10	627	0.0331285235072257
EXPIV	19	10	629	0.170671912909522
EXPIV	19	10	633	0.117164217576616
EXPIV	19	10	634	0.0132064165244958
EXPIV	19	10	635	0.0928806201400642
EXPIV	19	10	636	0.0159480053330284
EXPIV	19	10	640	0.0127663179055834
EXPIV	19	10	643	0.228837604367346
EXPIV	19	10	645	0.0383320427516441
EXPIV	19	10	648	0.013757391657173
EXPIV	19	10	652	0.0165951367169636
EXPIV	19	10	654	0.0298900066378663
EXPIV	19	10	659	0.0166088789336448
EXPIV	19	10	663	0.0123466164799803
EXPIV	19	10	665	0.0167598713349153
EXPIV	19	10	670	0.0255749013021574
EXPIV	19	10	671	0.0216279815517419
EXPIV	19	10	675	0.0118091767940424
EXPIV	19	10	679	0.0170918806137427
EXPIV	19	10	693	0.0140911996817254
EXPIV	19	10	696	0.0114695580358163
EXPIV	19	10	720	0.0153136878321223
EXPIV	19	10	725	0.015978894697243
EXPIV	19	10	730	0.0180075042484227
EXPIV	19	10	745	0.013241030301994
EXPIV	19	10	747	0.0142780251248049
EXPIV	19	10	754	0.0121995509185529
EXPIV	19	10	780	0.0123617275900347
EXPIV	19	10	781	0.0153287773955354
EXPIV	19	10	784	0.0172999549691626
EXPIV	19	10	786	0.0209156339639348
EXPIV	19	10	790	0.0181803416080915
EXPIV	19	10	795	0.019642947214476
EXPIV	19	10	821	0.118105610873623
EXPIV	19	10	822	0.0182264659896269
EXPIV	19	10	838	0.0399365501692471
EXPIV	19	10	858	0.0169156423558623
EXPIV	19	10	861	0.0630678080038568
EXPIV	19	10	864	0.0163130601471036
EXPIV	19	10	866	0.0148178144210138
EXPIV	19	10	867	0.0167379746359019
EXPIV	19	10	888	0.0151126300173791
EXPIV	19	10	898	0.0123417368668446
EXPIV	19	10	901	0.0138405102391766
EXPIV	19	10	904	0.0204469135494194
EXPIV	19	10	908	0.0250829707651646
EXPIV	19	10	912	0.014774933512103
EXPIV	19	10	915	0.0185497572895462
EXPIV	19	10	922	0.0128627038917007
EXPIV	19	10	925	0.0174420491158782
EXPIV	19	10	935	0.0431584233459818
EXPIV	19	10	936	0.016014571009952
EXPIV	19	10	944	0.0177242641048482
EXPIV	19	10	946	0.0240290534520216
EXPIV	19	10	962	0.012596327710412
EXPIV	19	10	975	0.0144139017630297
EXPIV	19	10	978	0.479628345987789
EXPIV	19	10	984	0.0116762266217174
EXPIV	19	10	994	0.0118201668324954
EXPIV	19	10	997	0.0160680606635286
EXPIV	19	10	999	0.0118432397203906
EXPIV	19	10	1010	0.012161918309326
EXPIV	19	10	1021	0.0429907968132406
EXPIV	19	10	1035	0.0125978653952486
