experiment	exp_line	passage	genomic_position	shannon_entropy
EXPIV	20	10	474	0.0356964745823971
EXPIV	20	10	480	0.017048821360179
EXPIV	20	10	481	0.0293763790568299
EXPIV	20	10	486	0.0303057715945388
EXPIV	20	10	487	0.0286117527741641
EXPIV	20	10	492	0.0227668722203221
EXPIV	20	10	494	0.0121423816450276
EXPIV	20	10	501	0.0208679974535057
EXPIV	20	10	503	0.0204793261137259
EXPIV	20	10	518	0.0238706171645637
EXPIV	20	10	519	0.0167274708601602
EXPIV	20	10	523	0.0161531874605874
EXPIV	20	10	527	0.0159269345550725
EXPIV	20	10	532	0.0214432296373436
EXPIV	20	10	538	0.0143091388925401
EXPIV	20	10	544	0.0135914057106689
EXPIV	20	10	554	0.0131046318664565
EXPIV	20	10	559	0.0116523494265659
EXPIV	20	10	560	0.0115032606708966
EXPIV	20	10	561	0.0115235834202248
EXPIV	20	10	563	0.0207604418635969
EXPIV	20	10	565	0.0156778775046455
EXPIV	20	10	576	0.0185197662776263
EXPIV	20	10	578	0.0218724761253563
EXPIV	20	10	582	0.013354896334867
EXPIV	20	10	586	0.0688751726279019
EXPIV	20	10	587	0.024097096008439
EXPIV	20	10	590	0.0123273599221418
EXPIV	20	10	593	0.0124300810446735
EXPIV	20	10	600	0.0120037674150411
EXPIV	20	10	603	0.0156241930808944
EXPIV	20	10	606	0.0360202189161352
EXPIV	20	10	607	0.0238729051999306
EXPIV	20	10	612	0.174552843810511
EXPIV	20	10	613	0.0221086189428283
EXPIV	20	10	614	0.0268806522424569
EXPIV	20	10	616	0.0828365528136126
EXPIV	20	10	617	0.0136567996214115
EXPIV	20	10	618	0.18206489954617
EXPIV	20	10	621	0.0220273746575576
EXPIV	20	10	622	0.0130182772316013
EXPIV	20	10	625	0.0156661310608247
EXPIV	20	10	627	0.0253051464630044
EXPIV	20	10	629	0.0933647483558379
EXPIV	20	10	630	0.0148076638671058
EXPIV	20	10	633	0.175061545161832
EXPIV	20	10	635	0.0354024559064303
EXPIV	20	10	636	0.0149372508289081
EXPIV	20	10	640	0.0126040201265465
EXPIV	20	10	643	0.235705187738506
EXPIV	20	10	645	0.0298075374462167
EXPIV	20	10	652	0.0137169662710232
EXPIV	20	10	654	0.111503152415994
EXPIV	20	10	655	0.0149573110265582
EXPIV	20	10	660	0.0191233729519089
EXPIV	20	10	663	0.017995188330167
EXPIV	20	10	664	0.0133419101359007
EXPIV	20	10	670	0.0178063068531248
EXPIV	20	10	678	0.017861094136751
EXPIV	20	10	681	0.0183195121873183
EXPIV	20	10	685	0.0120386634878777
EXPIV	20	10	693	0.0131561324756904
EXPIV	20	10	698	0.0118453980730921
EXPIV	20	10	713	0.0153978068747101
EXPIV	20	10	720	0.0163167514631397
EXPIV	20	10	754	0.0196844044001396
EXPIV	20	10	784	0.0134531564940891
EXPIV	20	10	786	0.0156082333033336
EXPIV	20	10	790	0.0142396007960801
EXPIV	20	10	799	0.0114217259535994
EXPIV	20	10	803	0.0135529670007328
EXPIV	20	10	807	0.0133711669341613
EXPIV	20	10	823	0.0283811508818023
EXPIV	20	10	824	0.0160362737371374
EXPIV	20	10	836	0.0168922572962048
EXPIV	20	10	838	0.0365662384782805
EXPIV	20	10	850	0.0123792842440222
EXPIV	20	10	855	0.0115757533181219
EXPIV	20	10	858	0.0125451972039313
EXPIV	20	10	861	0.0117746107916787
EXPIV	20	10	866	0.0123203151651927
EXPIV	20	10	888	0.0221280572757873
EXPIV	20	10	898	0.0139328281195058
EXPIV	20	10	901	0.0116627829259975
EXPIV	20	10	908	0.0235341182716611
EXPIV	20	10	913	0.0162090721198221
EXPIV	20	10	914	0.0140745673584756
EXPIV	20	10	915	0.0140434940491345
EXPIV	20	10	933	0.0264696926803933
EXPIV	20	10	938	0.0127631548899671
EXPIV	20	10	944	0.0129919493757374
EXPIV	20	10	947	0.0128267334314131
EXPIV	20	10	953	0.0156622197429498
EXPIV	20	10	954	0.0128684218705077
EXPIV	20	10	956	0.0132091991621591
EXPIV	20	10	972	0.0135088094067243
EXPIV	20	10	979	0.0133572181281128
EXPIV	20	10	980	0.0131922135971882
EXPIV	20	10	981	0.0137933453155774
EXPIV	20	10	997	0.0163670480169212
EXPIV	20	10	1003	0.0168590237606426
EXPIV	20	10	1007	0.0161552757288111
EXPIV	20	10	1024	0.01277264893847
EXPIV	20	10	1040	0.0133816488853101
EXPIV	20	10	1045	0.0123479561151602
EXPIV	20	10	1049	0.0114327264910401
EXPIV	20	10	1052	0.0120353130456384
EXPIV	20	10	1065	0.0158096670625919
EXPIV	20	10	1076	0.0162301352084845
EXPIV	20	10	1080	0.0132316914477421
EXPIV	20	10	1121	0.0153709208387811
EXPIV	20	10	1125	0.0114397385570484
EXPIV	20	10	1130	0.0478137348851327
EXPIV	20	10	1132	0.0160011116246742
EXPIV	20	10	1137	0.0314731959413784
EXPIV	20	10	1149	0.0134249255882512
EXPIV	20	10	1171	0.0248093437520728
