experiment	exp_line	passage	genomic_position	shannon_entropy
EXPIV	18	10	480	0.0284709109001436
EXPIV	18	10	483	0.0150405197322881
EXPIV	18	10	488	0.0258496975129353
EXPIV	18	10	489	0.0152038098343592
EXPIV	18	10	490	0.0150047384874658
EXPIV	18	10	491	0.013158381398041
EXPIV	18	10	496	0.0120520850984783
EXPIV	18	10	497	0.10718739428188
EXPIV	18	10	504	0.0194780999700893
EXPIV	18	10	507	0.363331913325051
EXPIV	18	10	509	0.0172025392767214
EXPIV	18	10	510	0.0345963868024226
EXPIV	18	10	518	0.0151489619250754
EXPIV	18	10	520	0.0150405197322881
EXPIV	18	10	521	0.0134555147699911
EXPIV	18	10	523	0.0137970760714615
EXPIV	18	10	528	0.0242285883298792
EXPIV	18	10	533	0.0177242641048482
EXPIV	18	10	534	0.0122110534918505
EXPIV	18	10	535	0.01210270060106
EXPIV	18	10	536	0.0170958065876806
EXPIV	18	10	537	0.0120185905071005
EXPIV	18	10	538	0.0173026404462639
EXPIV	18	10	540	0.0118163306312041
EXPIV	18	10	546	0.015796382001466
EXPIV	18	10	547	0.0244793193441781
EXPIV	18	10	550	0.0154211892376719
EXPIV	18	10	559	0.0179390557068598
EXPIV	18	10	566	0.0764242930955477
EXPIV	18	10	571	0.012366653888076
EXPIV	18	10	574	0.0124540448819739
EXPIV	18	10	575	0.0126204640342798
EXPIV	18	10	576	0.0283228836815637
EXPIV	18	10	578	0.0150405197322881
EXPIV	18	10	579	0.0354602829588679
EXPIV	18	10	587	0.0231810638540116
EXPIV	18	10	592	0.0299968750513733
EXPIV	18	10	597	0.0132398906669868
EXPIV	18	10	599	0.013202399358728
EXPIV	18	10	604	0.0129266222451947
EXPIV	18	10	606	0.0157725287013298
EXPIV	18	10	607	0.107256521072595
EXPIV	18	10	612	0.0836996918403239
EXPIV	18	10	615	0.0117231628288726
EXPIV	18	10	616	0.0395678458188574
EXPIV	18	10	617	0.152931813526185
EXPIV	18	10	618	0.106856068197093
EXPIV	18	10	619	0.0142833792943495
EXPIV	18	10	620	0.370571186765266
EXPIV	18	10	621	0.0181047804713644
EXPIV	18	10	627	0.0249113722349383
EXPIV	18	10	629	0.117200203634178
EXPIV	18	10	633	0.278196849218847
EXPIV	18	10	634	0.0174203250232845
EXPIV	18	10	635	0.0826368748265186
EXPIV	18	10	639	0.0121560502999649
EXPIV	18	10	643	0.342071342263197
EXPIV	18	10	645	0.0233030588140848
EXPIV	18	10	648	0.0175252255993509
EXPIV	18	10	652	0.0187957564927625
EXPIV	18	10	654	0.0965349441955001
EXPIV	18	10	659	0.0142861345311122
EXPIV	18	10	663	0.0115860416036427
EXPIV	18	10	670	0.0236631406037526
EXPIV	18	10	674	0.0137249748886379
EXPIV	18	10	693	0.0175757522898058
EXPIV	18	10	696	0.0168179616293476
EXPIV	18	10	701	0.0118252858852185
EXPIV	18	10	707	0.0173787384625855
EXPIV	18	10	720	0.0121575710579807
EXPIV	18	10	722	0.0131247331527539
EXPIV	18	10	725	0.0238349493294374
EXPIV	18	10	730	0.0207584612510874
EXPIV	18	10	737	0.0147962716861794
EXPIV	18	10	773	0.0183605644708502
EXPIV	18	10	778	0.0163140853342203
EXPIV	18	10	780	0.0128491453141669
EXPIV	18	10	784	0.0225555057232102
EXPIV	18	10	786	0.0212165839283308
EXPIV	18	10	788	0.0292505507004129
EXPIV	18	10	795	0.0131287612801914
EXPIV	18	10	799	0.022655290184926
EXPIV	18	10	808	0.0188024590115719
EXPIV	18	10	820	0.0125654390658921
EXPIV	18	10	822	0.0359640725463848
EXPIV	18	10	830	0.0128647454068481
EXPIV	18	10	831	0.0128281031992123
EXPIV	18	10	836	0.0170699306162302
EXPIV	18	10	838	0.0535922180230264
EXPIV	18	10	839	0.0123312773763061
EXPIV	18	10	855	0.01568223280051
EXPIV	18	10	865	0.0121158969680175
EXPIV	18	10	866	0.0309565996837546
EXPIV	18	10	868	0.0135996727668352
EXPIV	18	10	870	0.024493814597854
EXPIV	18	10	885	0.0167952412709845
EXPIV	18	10	888	0.0136370072670794
EXPIV	18	10	908	0.0202199904830778
EXPIV	18	10	909	0.0572098974043961
EXPIV	18	10	912	0.0147873072856687
EXPIV	18	10	914	0.0117064703180565
EXPIV	18	10	933	0.106454596514471
EXPIV	18	10	936	0.012787447336683
EXPIV	18	10	938	0.013585212429116
EXPIV	18	10	956	0.0117682201081029
EXPIV	18	10	962	0.0114695580358163
EXPIV	18	10	966	0.0114460906827926
EXPIV	18	10	972	0.0116802162632194
EXPIV	18	10	984	0.0179103856896049
EXPIV	18	10	987	0.0118738945225705
EXPIV	18	10	989	0.051791350304557
EXPIV	18	10	991	0.0178792205012746
EXPIV	18	10	992	0.0115354736159993
EXPIV	18	10	1002	0.0131526001055758
EXPIV	18	10	1043	0.0128116864805411
EXPIV	18	10	1050	0.0243909345766394
EXPIV	18	10	1060	0.0170915238022916
EXPIV	18	10	1062	0.0367126273654793
EXPIV	18	10	1065	0.015404813654249
EXPIV	18	10	1086	0.0139125376262872
EXPIV	18	10	1103	0.0204827899290662
EXPIV	18	10	1109	0.0211909401796688
EXPIV	18	10	1113	0.0136597215563547
EXPIV	18	10	1130	0.0150682935415228
EXPIV	18	10	1134	0.0115901623584066
EXPIV	18	10	1136	0.0160821820584699
EXPIV	18	10	1144	0.293915593275214
EXPIV	18	10	1146	0.0139236896124132
EXPIV	18	10	1149	0.0128970930176886
EXPIV	18	10	1153	0.0114352297521999
EXPIV	18	10	1155	0.0171558406436316
EXPIV	18	10	1167	0.0115875865219521
EXPIV	18	10	1174	0.0243545835659838
EXPIV	18	10	1176	0.0158435912051539
EXPIV	18	10	1181	0.0138435164241175
EXPIV	18	10	1192	0.295425284558705
EXPIV	18	10	1193	0.011647140107882
EXPIV	18	10	1214	0.0345101874825103
EXPIV	18	10	1215	0.148857735258423
EXPIV	18	10	1218	0.013147594018935
EXPIV	18	10	1253	0.0140799493886039
EXPIV	18	10	1272	0.0152114610582851
EXPIV	18	10	1274	0.0145860142066036
EXPIV	18	10	1278	0.0128770089781756
EXPIV	18	10	1282	0.0135971915272182
EXPIV	18	10	1284	0.0138015558128328
EXPIV	18	10	1296	0.0115754596522242
EXPIV	18	10	1306	0.065328900140697
EXPIV	18	10	1323	0.0174983585530218
EXPIV	18	10	1325	0.0129804664981787
EXPIV	18	10	1326	0.0115872186445722
EXPIV	18	10	1327	0.0184156070374682
EXPIV	18	10	1350	0.0119977566226605
EXPIV	18	10	1355	0.0120787426628799
EXPIV	18	10	1356	0.0220610280014283
EXPIV	18	10	1365	0.0140335126020023
EXPIV	18	10	1368	0.0140421163999284
EXPIV	18	10	1371	0.14405046621592
EXPIV	18	10	1399	0.0117828763445197
EXPIV	18	10	1413	0.0117192047714005
EXPIV	18	10	1424	0.0126922511906893
EXPIV	18	10	1427	0.0114691380798018
EXPIV	18	10	1437	0.0133502553220739
EXPIV	18	10	1449	0.013162881695897
EXPIV	18	10	1467	0.0122936813306204
EXPIV	18	10	1474	0.0159963295085881
EXPIV	18	10	1484	0.0167582032295058
EXPIV	18	10	1512	0.0136458541948588
EXPIV	18	10	1519	0.0220628887685363
